source_id,Jr,Jz,Energy,Lz,Lperp,FeH_our
2098934029183133696,1708.0,71.0,-104748.0,-2645.0,-0.51,-1.7328524121061988
2706810985485718400,3640.0,784.0,-84206.0,-1758.0,-0.22,-1.9375519405030692
2301463413882932992,1214.0,71.0,-123665.0,-1716.0,-0.49,-1.3879057896059295
2251757108828618496,2260.0,88.0,-111826.0,-1066.0,-0.24,-1.4871222404997546
563515896970574208,2443.0,38.0,-116641.0,-277.0,-0.07,-1.1969031242544363
1345084633559363072,1163.0,434.0,-126714.0,-1103.0,-0.33,-1.667633326893565
2287989521655965440,1000.0,515.0,-120310.0,-1746.0,-0.46,-1.7248288926951596
4219248607417561728,499.0,58.0,-143511.0,-1725.0,-0.72,-1.3944374372743433
1878239466838981632,2814.0,79.0,-102817.0,-802.0,-0.15,-1.35711074303491
2737233514449351680,1000.0,278.0,-113628.0,-2275.0,-0.53,-1.7762287835333588
2740035546817737472,4437.0,1186.0,-81608.0,755.0,0.09,-1.568812328781044
6837844400615182720,444.0,1045.0,-131654.0,-1362.0,-0.45,-2.020097046039739
4048431465930669440,1878.0,27.0,-131796.0,17.0,0.01,-1.44425050728755
2853512332285518592,868.0,293.0,-118694.0,-2037.0,-0.52,-1.8833084607381854
2877838339855596928,521.0,278.0,-152063.0,-899.0,-0.44,-1.7170191923906803
1352963935745255424,2031.0,287.0,-98992.0,-1224.0,-0.21,-1.9628022274724137
1968179934615694976,1439.0,3.0,-132198.0,-846.0,-0.28,-1.7248367002149485
4523704992060872448,410.0,80.0,-156902.0,-1182.0,-0.63,-1.7955475038195616
1709602321900710528,367.0,450.0,-152463.0,-904.0,-0.44,-2.211475100046459
2294689803780324224,1231.0,407.0,-139402.0,-20.0,-0.01,-1.675888800819613
6884880026288158336,727.0,578.0,-136723.0,-1089.0,-0.4,-1.578701640753641
2232098356320219776,1035.0,9.0,-151059.0,-512.0,-0.24,-1.2730900257571083
1406194871355128064,2121.0,1045.0,-113000.0,52.0,0.01,-1.6220405161608333
4193066551204203648,761.0,31.0,-158661.0,-618.0,-0.34,-1.3224806632197534
6889499452592346368,1089.0,282.0,-116282.0,-2144.0,-0.53,-1.339320467078533
4307763691529805312,1416.0,4.0,-146445.0,-59.0,-0.03,-1.4094275014193092
4467433017738606080,2203.0,50.0,-120419.0,-293.0,-0.08,-1.4465418876941931
2214614605315174656,187.0,282.0,-160169.0,-1054.0,-0.59,-2.0325966631689694
426915664720211072,989.0,353.0,-145085.0,-237.0,-0.1,-1.4099034041761844
1728545670296849024,1336.0,845.0,-110516.0,-1680.0,-0.37,-1.3781324647705628
4455653709154659072,1421.0,741.0,-126874.0,-314.0,-0.09,-1.0629758678578152
1799715030740010240,158.0,99.0,-165036.0,-1252.0,-0.77,-1.8951977586483197
4339783669124010112,1012.0,253.0,-154076.0,23.0,0.01,-1.5244216414230678
1752801171685912448,184.0,59.0,-168160.0,-1130.0,-0.74,-1.6327240671115706
1657236397000892544,1462.0,137.0,-136600.0,351.0,0.13,-1.6752614900755693
1326263330953312640,112.0,464.0,-155022.0,-1211.0,-0.62,-1.9644951581038992
522194909969271168,1428.0,65.0,-140417.0,115.0,0.04,-1.7127277377500736
