source_id,Energy,Lz,Lperp,labelsGroupderiv
4079173059492769152,-225926.0,164.0,178.0,0
4074638123737743744,-223249.0,261.0,95.0,0
4049197378855247616,-222922.0,15.0,28.0,0
4131113473323534976,-221552.0,83.0,259.0,0
6044899150360248832,-218868.0,-187.0,129.0,0
6725987440635837440,-218119.0,201.0,162.0,0
6708621685228907264,-217129.0,7.0,359.0,0
4042483868308344576,-217067.0,10.0,118.0,0
4035779145109647616,-216341.0,425.0,133.0,0
5948251910804292352,-216279.0,-6.0,288.0,0
4047983831667142784,-216220.0,-38.0,476.0,0
4074380460047972352,-215768.0,195.0,75.0,0
4333578678332148864,-214118.0,-71.0,277.0,0
6026492707239751552,-213919.0,-26.0,297.0,0
6032998178270152192,-212973.0,-233.0,81.0,0
4086552977173750400,-212927.0,-175.0,176.0,0
6719822856868045184,-212641.0,-215.0,336.0,0
4086422002190193152,-211967.0,26.0,118.0,0
6759583808655210496,-211608.0,64.0,127.0,0
6001264760847678336,-211594.0,-117.0,211.0,0
6713120749365883392,-211431.0,-157.0,284.0,0
6711784842738435840,-211333.0,-115.0,119.0,0
6730224236858931072,-211274.0,392.0,202.0,0
4036401988472594944,-210748.0,292.0,178.0,0
4036301451884353536,-210657.0,534.0,113.0,0
4082468536304298240,-210656.0,410.0,221.0,0
4121248925578717824,-210589.0,-253.0,104.0,0
6760071265962546560,-210503.0,-85.0,49.0,0
6034613051602626304,-209900.0,-1.0,162.0,0
6736064911356803456,-209618.0,261.0,219.0,0
4036017258095606400,-209406.0,557.0,204.0,0
6006167620621187840,-209005.0,70.0,75.0,0
5951833982268423296,-208771.0,-200.0,20.0,0
5955960479426142464,-208685.0,416.0,83.0,0
6758975675650708608,-208671.0,48.0,325.0,0
4324324398199662080,-208429.0,145.0,406.0,0
5977812968152483840,-208340.0,-136.0,253.0,0
5914060810013263616,-207972.0,193.0,252.0,0
6043683678920255232,-207926.0,316.0,227.0,0
4038234633802472064,-207660.0,194.0,40.0,0
5958130709213582720,-207526.0,623.0,116.0,0
4135907167926693376,-207472.0,215.0,475.0,0
6725084982100435456,-207439.0,37.0,98.0,0
6635412043523100928,-207415.0,-40.0,175.0,0
6729922867602011136,-207291.0,77.0,12.0,0
6767880070562060544,-206758.0,40.0,136.0,0
6662564998560858112,-206683.0,-113.0,189.0,0
6761051347464874752,-206636.0,372.0,278.0,0
5916845804257037440,-206550.0,-67.0,317.0,0
6722793702924695424,-206513.0,146.0,317.0,0
4071278870879906560,-206506.0,441.0,232.0,0
4072326980334049024,-206479.0,206.0,260.0,0
4080152758683370496,-206389.0,352.0,361.0,0
6704375783635115648,-206174.0,188.0,327.0,0
6758914274798865408,-206119.0,195.0,249.0,0
6851176666300267008,-206091.0,-201.0,167.0,0
6653334461012744320,-206067.0,260.0,69.0,0
6703100899905054976,-205982.0,462.0,231.0,0
6709079872339111296,-205970.0,317.0,455.0,0
6724194343313039232,-205947.0,235.0,306.0,0
6723629361816343296,-205860.0,154.0,415.0,0
4035850372850586368,-205745.0,220.0,481.0,0
6027693790611801856,-205620.0,633.0,138.0,0
6709329697700577792,-205613.0,-21.0,325.0,0
6683455822567592960,-205449.0,207.0,170.0,0
4035829757007179392,-205404.0,569.0,189.0,0
6661261871124262144,-205391.0,207.0,339.0,0
5926038541778992384,-205174.0,59.0,50.0,0
6770606996840793728,-205114.0,-461.0,280.0,0
5957022783814063872,-204891.0,553.0,129.0,0
6007714942716007552,-204868.0,145.0,366.0,0
6734100633847751296,-204841.0,559.0,129.0,0
4367275754785757568,-204725.0,-100.0,350.0,0
6011061924837970304,-204575.0,371.0,430.0,0
6647459976540389632,-204522.0,110.0,80.0,0
6032940316470978432,-204496.0,474.0,399.0,0
6869972061664251520,-204481.0,235.0,157.0,0
6866910093578331008,-204230.0,221.0,165.0,0
4045715569129792768,-204200.0,-464.0,391.0,0
4473535822671119232,-204063.0,-69.0,189.0,0
6762862380531240832,-204017.0,449.0,141.0,0
6723178119675820800,-203989.0,132.0,450.0,0
6762313758591410176,-203926.0,477.0,145.0,0
6745180962244010112,-203912.0,-162.0,401.0,0
6000843373008994304,-203665.0,-61.0,296.0,0
4149048603981677184,-203290.0,169.0,507.0,0
4079756212940382592,-203264.0,-140.0,330.0,0
4126115093485131776,-203089.0,-181.0,351.0,0
4082844912872168192,-203073.0,592.0,239.0,0
6704592249987670144,-203037.0,146.0,186.0,0
4390771115680786944,-203033.0,58.0,70.0,0
4184349627328699648,-202969.0,536.0,338.0,0
6654795746320333696,-202943.0,-246.0,157.0,0
6871572881874948096,-202892.0,-323.0,167.0,0
4078502460450663808,-202785.0,554.0,180.0,0
6769463092432238848,-202638.0,513.0,359.0,0
4085208205730311040,-202617.0,-398.0,319.0,0
6867573202168268288,-202494.0,87.0,264.0,0
6687938359676224384,-202470.0,424.0,203.0,0
5830370176818067712,-202416.0,26.0,322.0,0
6046819005051607936,-202391.0,204.0,593.0,0
6703599356631198208,-202369.0,457.0,90.0,0
6037545964497183360,-202357.0,324.0,71.0,0
4068580703709173248,-202355.0,710.0,140.0,0
6031915640328245248,-202277.0,-143.0,304.0,0
6659826080737211520,-202204.0,-39.0,301.0,0
4116589921246825728,-202152.0,-285.0,361.0,0
6016745987629370624,-202124.0,184.0,84.0,0
6717495396895532672,-202063.0,-108.0,274.0,0
4045840917862636928,-202053.0,703.0,96.0,0
4046507805959114240,-201962.0,627.0,222.0,0
6760657791007060608,-201910.0,279.0,516.0,0
6640601257363212672,-201903.0,143.0,92.0,0
4375115238332639104,-201856.0,36.0,111.0,0
5919937768384357504,-201786.0,281.0,178.0,0
6634427052898471552,-201786.0,-414.0,150.0,0
6710630561687382784,-201723.0,250.0,229.0,0
6733261740827255168,-201650.0,597.0,314.0,0
4122527318349970432,-201624.0,118.0,385.0,0
6716287686455369344,-201576.0,595.0,311.0,0
6098559410906328576,-201531.0,-190.0,81.0,0
5935882439379615744,-201380.0,245.0,476.0,0
5949481267886477056,-201346.0,683.0,174.0,0
6634286281051798784,-201332.0,292.0,375.0,0
6715396974654800384,-201270.0,-48.0,547.0,0
6656933884119554176,-201185.0,215.0,179.0,0
6213065919069132288,-201128.0,-367.0,257.0,0
4130233382986778496,-201062.0,562.0,145.0,0
6850089730336391552,-201036.0,388.0,188.0,0
5946105045619144960,-200912.0,360.0,511.0,0
5921899773855055104,-200890.0,-356.0,457.0,0
6704090937107549696,-200785.0,528.0,373.0,0
5922878721472859008,-200784.0,505.0,87.0,0
5926568270210053760,-200775.0,466.0,418.0,0
6726559530259348480,-200763.0,23.0,342.0,0
6680623480613788928,-200761.0,-145.0,99.0,0
